contract_id,effective_from,events_start_from,balance_key_symbol,holder_key_index,amount_value_type,token_symbol,token_name,decimals,reason,ticket
CA3EM2NJSNY5NUQPUXGPGYYLNMGMWMYPIEEU6IGCP6U3N7A5RZTW3TLD,2026-07-13,2026-08-31,,,,PC000,Private Credit Direct Deal0000094,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CAEZVGE4HOFFP6B7AA4OGTT4WJG45QAIXVXSVEI3PMWEAXWBUYBRV7DD,2026-07-13,2026-08-31,,,,PC000,Private Credit Direct Deal0000006,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CAOCXWNXCG63U43DCJSS52FDAFT2ZXY2T2UZF3ZYVZ4LLLFVFRF2GM6Z,2026-07-16,2026-08-31,,,,PC000,Private Credit Direct Deal0000001,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CASDV5U5YOAQDEF4K6PRHQB5CDRCJJSPAGOLWPXAKQHW6O6ET5XRJPGX,2026-07-16,2026-08-31,,,,PC000,Private Credit Direct Deal0000464,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CAUG7XBC3Q4PNAFFA2OEELTVB4CVVLQ2IHIYEEOU6EXMCCND7BFLNP5A,2026-07-21,2026-08-31,,,,PC000,Private Credit Direct Deal0009510,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CB42I4CUI4VHF5JEOOAPGDS7WKHTZ3W6ODUKC2ARTMERGAE3KAIAWY4H,2026-07-16,2026-08-31,,,,PC000,Private Credit Direct Deal0000017,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CB53TITR65ZKTREWEWEEKMFAQZAE6IPJONH32JWOFOWJPHZL6ODP6R4F,2026-07-21,2026-08-31,,,,PC004,Private Credit Direct Deal0048343,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CB54KJME7PKX3LGNPGLDWFHPBIG7Q4RIPUV7ZXVDZTWGW4X3Q3ZIHAKH,2026-07-16,2026-08-31,,,,PC000,Private Credit Direct Deal0000095,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CBFVIMDN6DIJV6P5TLOTOD5OI3ZDLF4OEKZSGNDUUTMZWIPH7EHCKHCU,2026-07-21,2026-08-31,,,,PC022,Private Credit Direct Deal0227697,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CBIYNKPYSB7MNWT6GAC2HI3ZARTMMAVFDLTVGVNE3RJCFYWMGMSJXH5H,2026-07-21,2026-08-31,,,,PC683,Private Credit Direct Deal68376563,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
